#{"t_start": 1749861829.2679536, "env_id": "None"}
r,l,t
-1976.2202,401,46.53659
-2321.0955,401,46.5897
-10049.706,401,46.786629
-7217.8877,401,47.898338
-13228.986,401,48.14441
-9926.734,401,48.161078
3419.98,401,48.194295
-14353.692,401,48.211052
-3027.6367,130,48.571774
-9183.765,401,48.655517
-974.6223,401,48.868628
-6432.533,401,49.034955
-2125.778,401,49.4655
-6501.864,194,49.498845
-10138.091,401,49.598777
-13520.83,401,49.614152
-2382.6235,401,49.727302
-13412.695,401,50.173536
-20415.893,401,50.373044
-2604.5718,114,50.456002
-21105.592,401,50.648725
-3197.5356,126,51.043788
1934.9684,401,51.0596
-2915.7937,401,51.125602
-3340.6929,401,51.304628
-14209.424,401,51.354932
-9627.229,401,51.731018
-13689.213,401,51.929429
-17482.812,351,52.272861
-2418.5408,401,52.818379
-14999.688,396,52.950521
-1706.7599,401,53.033098
498.81375,401,53.115297
-23899.03,401,53.214705
-12605.343,401,53.231536
2925.3682,401,53.284703
-3173.4731,401,53.482969
-5491.8794,146,53.532946
-4894.834,50,53.860725
-5821.5205,248,53.91037
-4171.027,41,54.207431
-7719.9688,84,54.340008
-3183.0955,163,54.422814
-2031.0492,401,54.602585
821.8844,401,54.843678
-2956.867,100,54.85908
1677.8127,401,54.859127
-5419.838,401,54.890715
-4810.0474,401,54.907084
730.02026,401,55.342783
-3470.6401,66,55.487979
-1753.1,401,55.713817
-4182.6865,199,56.069776
-7921.046,184,56.118888
-12677.425,401,56.135552
-5111.645,401,56.165911
-3175.8452,401,56.262634
-6858.03,401,56.278081
-5122.7104,54,56.357193
-4088.868,401,56.806462
-4519.982,44,56.85209
-5159.6143,52,56.949528
-937.1521,401,56.998319
-8662.352,401,57.080096
-12129.256,401,57.178666
-5319.383,54,57.210938
-3023.6553,157,57.363733
-2323.814,316,57.394823
-7842.9775,93,57.531927
-15124.405,401,57.547725
-1767.122,401,57.564743
-2921.5637,87,57.645617
-2278.8696,401,57.806916
-2378.324,401,57.856059
-2690.5308,57,57.85611
-5559.9707,57,57.989023
-4196.473,40,58.005944
-5307.384,55,58.053244
-4029.147,61,58.179883
-11158.366,390,58.244994
-11828.846,175,58.501645
-4182.4263,72,58.551541
-2253.848,73,58.724531
-4005.4966,284,59.441988
-3268.7712,169,59.503878
-25970.924,401,59.684644
-9009.607,106,59.701692
-5260.565,401,59.735299
-7248.1772,370,59.853517
2411.7227,401,59.937149
-5210.8125,88,59.970113
694.90564,401,60.325927
-3149.2205,234,60.639037
-7671.511,401,60.673226
-11291.4795,401,60.808312
-3862.3955,200,60.908809
